epsilon,fgsm_accuracy,pgd_accuracy
0.0,82.57,82.57
0.01,11.64,2.72
0.02,3.4,0.02
0.05,0.88,0.0
0.1,1.74,0.0
0.15,3.39,0.0
0.2,4.73,0.0
