epsilon,fgsm_accuracy,pgd_accuracy
0.00,98.84,98.84
0.05,95.04,93.83
0.10,84.71,73.74
0.15,62.27,27.57
0.20,32.78,3.89
0.25,13.22,3.89
0.30,5.00,3.89
