epsilon,fgsm_accuracy,pgd_accuracy
0.0,73.43,73.43
0.01,30.18,22.58
0.02,9.61,2.74
0.05,0.5,0.0
0.1,0.17,0.0
0.15,0.43,0.0
0.2,1.47,0.0
